Product,Gender,Accords,Description,AdditionalInfo,TopNotes,MiddleNotes,BaseNotes,love,like,ok,dislike,hate,winter,spring,summer,fall,day,night,,
Choco Musk Eau de Parfum Al-Rehab,women and men,"vanilla (100%), warm spicy (95.0606%), chocolate (82.1612%), powdery (72.9738%), sweet (72.9033%), musky (58.2257%), woody (49.7579%), cacao (49.5606%), cinnamon (46.9353%), amber (46.653%)",Choco Musk Eau de Parfum by Al-Rehab is a Aromatic fragrance for women and men. This is a new fragrance. Choco Musk Eau de Parfum was launched in 2023.,Not Found,"Vanilla, Chocolate, Musk, Spices, Cinnamon, Amber, Sandal, Oriental Woodsy notes, Rose",,,0,0,0,0,0,0,0,0,0,0,0,,
Vanilla Powder Matiere Premiere,women and men,"vanilla (100%), musky (75.4803%), powdery (73.7401%), woody (67.966%), citrus (48.9829%), sweet (48.5481%), aromatic (44.2371%)",Vanilla Powder by Matiere Premiere is a fragrance for women and men. This is a new fragrance. Vanilla Powder was launched in 2023. The nose behind this fragrance is Aure?lien Guichard.,Not Found,"Vanilla Absolute, Coconut Powder, Palo Santo, White Musk",,,100,41.9929,30.9609,37.0107,16.726,100,63.2812,37.1094,97.6562,85.5469,76.1719,,
Red Tobacco Intense Mancera,women and men,"tobacco (100%), sweet (87.7023%), warm spicy (77.0604%), leather (71.3064%), musky (68.626%), vanilla (68.626%), powdery (63.1867%), smoky (62.6348%), fruity (56.1315%), cinnamon (55.2251%)","Red Tobacco Intense by Mancera is a Woody Spicy fragrance for women and men. This is a new fragrance. Red Tobacco Intense was launched in 2023. Top notes are Pear, Incense, Cinnamon, Agarwood (Oud), Saffron and Nutmeg; middle notes are Tobacco, Leather, Jasmine, Patchouli and Vetiver; base notes are Musk, Vanilla, Guaiac Wood, Sandalwood and Ambergris.","In 2023, Mancera launches the intense version of its popular Red Tobacco fragrance from the Confidential Collection. It is described as an irresistible fragrance that combines vanilla from Madagascar, leather, and the intense aroma of tobacco. This fragrance dazzles with its shimmering spices, saffron, and oud.
Concentrated, powerful, and intoxicating, this fragrance will leave an indelible mark on the space around you, according to the brand.
Available in 60ml and 120ml Extrait de Parfum.","Pear, Incense, Cinnamon, Agarwood (Oud), Saffron, Nutmeg","Tobacco, Leather, Jasmine, Patchouli, Vetiver","Musk, Vanilla, Guaiac Wood, Sandalwood, Ambergris",100,38.3562,15.9817,12.7854,20.5479,100,28.9474,26.3158,78.0702,35.5263,80.2632,,
Summer Hammer Lorenzo Pazzaglia,women and men,"sweet (100%), tropical (98.2053%), fruity (95.1178%), woody (62.9178%), coconut (62.3078%), white floral (55.4873%), powdery (52.813%), aromatic (51.251%), musky (50.1028%), marine (47.5899%)","Summer Hammer by Lorenzo Pazzaglia is a fragrance for women and men. This is a new fragrance. Summer Hammer was launched in 2023. The nose behind this fragrance is Lorenzo Pazzaglia. Top notes are Mango, Pineapple, Coconut, White Rum and Bergamot; middle notes are Coconut Milk, White Flowers and Marine notes; base notes are Musk, Sandalwood, Amber and Vetiver.","Summer in a bottle to be enjoyed 365 days a year and at all latitudes, even when it's cold outside and warm temperatures are just a mirage. A fresh and juicy mango pinacolada enriched with warm and tropical vibes, supported by an airy floral bouquet and a solid base with green notes and enriched with the creaminess of sandalwood. An immediate and playful fragrance, designed to convey happiness, light-heartedness and will to live!

Top notes: mango, pineapple, coconut, tropical notes, bergamot, white rum
Heart notes: coconut milk, marine notes, white flowers
Base notes: vetiver, musk, sandalwood, Indian amber","Mango, Pineapple, Coconut, White Rum, Bergamot","Coconut Milk, White Flowers, Marine notes","Musk, Sandalwood, Amber, Vetiver",100,47.0588,24.4344,14.0271,5.42986,13.6213,52.1595,100,22.5914,72.4252,43.1894,,
Father Figure Phlur,women and men,"powdery (100%), woody (90.6507%), iris (84.0328%), fruity (79.0545%), musky (64.6052%), sweet (61.4483%), earthy (60.1126%), vanilla (56.106%), floral (53.1307%), aromatic (47.0601%)","Father Figure by Phlur is a Woody fragrance for women and men. This is a new fragrance. Father Figure was launched in 2023. The nose behind this fragrance is Frank Voelkl. Top notes are Fig, Water Lily and Cassis; middle notes are Orris Root, Iris and Jasmine; base notes are Musk, Madagascar Vanilla, Sandalwood and Patchouli Leaf.","""Commanding yet tender at the same time. Rooted in lushness, FATHER FIGURE is a vivid green fragrance that captures the intimate feeling of cool. Opening with fleshy fig and dewy cassis, then folding into a creamy sandalwood, orris root, vanilla Madagascar, FATHER FIGURE is layered and vibrant. Skin musks and sheer patchouli add intimacy and sensuality.""
""This fragrance is inspired by hidden gardens. There is a contrast between the vivid greenness and something more skin-like. The milky nectar of fig compliments buttery suede qualities of orris to create a naturally sensual effect."" - Frank Voelkl.
Top: Waterlily, Lush Fig, Cassis Buds
Heart: Orris Root, Iris Flower, Jasmine Dew
Base: Skin Musks, Vanilla Madagascar, Patchouli Leaf, Sandalwood
Available as a 50 ml Eau de Parfum.","Fig, Water Lily, Cassis","Orris Root, Iris, Jasmine","Musk, Madagascar Vanilla, Sandalwood, Patchouli Leaf",100,52.5862,21.9828,9.48276,3.44828,72.1893,94.6746,78.6982,89.9408,100,60.9467,,
Blue Moon Ginger Dash By Kilian,women and men,"musky (100%), citrus (91.3468%), fresh (90.2376%), vodka (81.03%), warm spicy (78.9224%), amber (75.4835%), ozonic (53.6848%), powdery (51.3549%), aromatic (45.1426%)",Blue Moon Ginger Dash by By Kilian is a fragrance for women and men. This is a new fragrance. Blue Moon Ginger Dash was launched in 2023. The nose behind this fragrance is Sidonie Lancesseur. Top notes are Lemon and Calone; middle notes are Ginger and Vodka; base notes are Ambroxan and White Musk.,"Kilian Hennessy's Inspiration: KILIAN Paris drops the quintessential summer cocktail in scent. Blue Moon Ginger Dash is a limited fresh addition to The Liquors, inspired by Kilian Hennessy's summer cocktail, the cult beachside party drink from the 90's, Blue Lagoon, a mix of lemon, vodka and blue cara√ßao liquor.

The Perfume: The perfume opens with a flash of Lemon essence, combined with Calone adding an ""on the rocks"" feel for inimitable freshness, a KILIAN Paris signature. The fragrance quickly leads to a Vodka accord along with Organic Ginger essence all set on a base of white Musk, with Ambroxan resonating notes from start to finish.

The Perfume notes: Lemon, Calone, Vodka accord, Ginger, Ambroxan.","Lemon, Calone","Ginger, Vodka","Ambroxan, White Musk",100,64.2857,42.8571,27.381,23.8095,8.69565,67.1498,100,17.3913,83.0918,30.4348,,
Isola Blu Roja Dove,women and men,"citrus (100%), aromatic (71.131%), fresh spicy (62.1398%), woody (61.8378%), green (56.214%), fresh (49.5515%), fruity (45.3035%), leather (44.2414%), white floral (44.0001%)","Isola Blu by Roja Dove is a Citrus fragrance for women and men. This is a new fragrance. Isola Blu was launched in 2023. The nose behind this fragrance is Roja Dove. Top notes are Bergamot, Lime, Lemon, Thyme and Lavender; middle notes are Apple, Orange Blossom, Black Currant, Jasmine, Champaca, Coconut and Lily; base notes are Birch, Grass, Cedar, Juniper Berries, Musk, Pink Pepper, Ambergris, Oakmoss, Amber, Mate, Patchouli, Leather, Labdanum, Anise, Orris Root, Vanilla and Tonka Bean.","Isola Blu is a five-star vacation captured in a fragrance; just one spritz of this sophisticated citrus perfume surrounds you in the scent of endless summer.
?úLuminous Citrus notes shine upon warm Amber and Pink Pepper, feeling like a day spent beneath the Mediterranean sun. A coastal breeze billows across a verdant lemon grove as fresh Herbs an juicy Fruits freshen a garden of green, earthy notes. Bringing an indulgent quality, creamy Champaca, Jasmine and Coconut melt into a hint of leather - a nod to fine Italian craftmanship.??- ROJA DOVE.
Top Notes: Lemon, Bergamot, Lime, Lavender, Thyme
Heart Notes: Apple, Blackcurrant, Coconut, Orange Blossom, Jasmin de Grasse, Lily, Champaca
Base Notes: Cut Grass, Mat√©, Galbanum, Pink Pepper, Aniseed, Patchouli, Oakmoss, Cedarwood, Juniper Berry, Vanilla, Tonka Bean, Amber, Orris, Birch, Leather, Ambergris, Musk
Isola Blu is available as a 50 ml Parfum.","Bergamot, Lime, Lemon, Thyme, Lavender","Apple, Orange Blossom, Black Currant, Jasmine, Champaca, Coconut, Lily","Birch, Grass, Cedar, Juniper Berries, Musk, Pink Pepper, Ambergris, Oakmoss, Amber, Mate, Patchouli, Leather, Labdanum, Anise, Orris Root, Vanilla, Tonka Bean",100,34.2629,13.5458,6.3745,10.3586,10.8108,89.1892,100,40.991,95.045,40.991,,
Aqua Media Cologne Forte Maison Francis Kurkdjian,women and men,"citrus (100%), green (65.8551%), fresh (62.6244%), powdery (59.4572%), soft spicy (59.3936%), floral (53.9932%), musky (51.5383%), fresh spicy (51.2216%), aromatic (49.1629%), anis (44.697%)","Aqua Media Cologne Forte by Maison Francis Kurkdjian is a fragrance for women and men. This is a new fragrance. Aqua Media Cologne Forte was launched in 2023. The nose behind this fragrance is Francis Kurkdjian. Top notes are Verbena and Bergamot; middle notes are Fennel and Hedione; base notes are Matcha Tea, Musk and Woodsy Notes.","Evoking both water and light, green is the middle color of the rainbow prism and reflects balance in motion. It is embodied in the vibrant freshness of Aqua Media Cologne forte, featuring bergamot from Calabria, verbena, sweet fennel, hedione, and a woody musk accord.

Fragrance Notes:","Verbena, Bergamot","Fennel, Hedione","Matcha Tea, Musk, Woodsy Notes",100,83.8298,48.5106,26.383,18.7234,7.92683,73.1707,100,16.1585,85.061,13.4146,,
Oud Min√©rale (2023) Tom Ford,women and men,"marine (100%), aromatic (67.1216%), salty (66.7897%), aquatic (57.5569%), oud (57.379%), amber (47.6599%)",Oud Min√©rale (2023) by Tom Ford is a Woody Aquatic fragrance for women and men. This is a new fragrance. Oud Min√©rale (2023) was launched in 2023.,"In 2023, Oud Minerale Eau de Parfum by TOM FORD is now launching in the Signature Collection a contrasting fusion of elements.
The warmth of oud is intensified by a rush of fresh pink pepper, while silver fir balsam and ambergris balance earthy and maritime nuances. A wave of smoky wood embraces sensual, skin-clinging musk. Oud Min√©rale combines rich oud notes with refreshing oceanic minerals.
Notes: marine accord, oud accord, ambergris accord, pink pepper, styrax, and silver fir balsam.
Available in 50ml and 100ml Eau de Parfum.","Sea Notes, Salt, Agarwood (Oud), Seagrass, Balsam Fir, Styrax, Amber, Musk, Pink Pepper",,,100,56.266,31.4578,24.5524,20.9719,59.6059,100,96.0591,92.3645,96.3054,81.0345,,
Myrrhe Myst√®re Tom Ford,women and men,"amber (100%), warm spicy (78.4365%), powdery (74.8968%), woody (73.3133%), balsamic (71.6835%), vanilla (68.6563%), sweet (63.3934%), aromatic (56.5937%), musky (53.2866%)",Myrrhe Myst√®re by Tom Ford is a Amber Woody fragrance for women and men. This is a new fragrance. Myrrhe Myst√®re was launched in 2023.,"Tom Ford launches Myrrhe Myst√®re, a new addition to the Private Blend collection, in September 2023. The new exclusive creation delves into the enigmatic world of amber, crafted to showcase Tom Ford's personal interpretation of the ingredient of myrrh.
Myrrhe Myst√®re embraces the rarity and exclusivity fueled by the ingredient's ancient heritage and expands olfactory horizons with the allure of warm, woody, and sweet notes.
The composition develops with myrrh essence and myrrh resinoid absolute, wrapped up in smooth sandalwood and vanilla notes.
Tom Ford Myrrhe Myst√®re is available as a 30 and 50 ml Eau de Parfum.","Myrrh, Myrhh, Sandalwood, Vanilla, Musk, Leather, Absinthe, Jasmine",,,100,99.3939,40,26.0606,26.6667,100,28.4211,17.8947,95.7895,48.4211,87.8947,,
Aqua Allegoria Forte Bosca Vanilla Guerlain,women and men,"vanilla (100%), woody (72.8485%), powdery (63.4679%), sweet (57.1752%), citrus (56.8686%), aldehydic (51.2122%), musky (49.5625%), marine (46.8517%), herbal (45.7677%)","Aqua Allegoria Forte Bosca Vanilla by Guerlain is a Amber Woody fragrance for women and men. This is a new fragrance. Aqua Allegoria Forte Bosca Vanilla was launched in 2023. Top notes are Bergamot and Eucalyptus; middle notes are Solar Notes and Immortelle; base notes are Vanilla Absolute, Driftwood and Musk.",Not Found,"Bergamot, Eucalyptus","Solar Notes, Immortelle","Vanilla Absolute, Driftwood, Musk",100,75.8242,31.1355,32.967,14.2857,56.0484,88.3065,85.0806,88.3065,100,45.9677,,
Sonic Flower Room 1015,women and men,"powdery (100%), musky (94.7958%), iris (62.1429%), amber (52.7551%), woody (48.2653%), soft spicy (47.7042%)","Sonic Flower by Room 1015 is a Floral Woody Musk fragrance for women and men. This is a new fragrance. Sonic Flower was launched in 2023. The nose behind this fragrance is J√©r√¥me Epinette. Top notes are Carrot Seeds and Pink Pepper; middle notes are Orris and Jasmine; base notes are Musk, Ambroxan and Cashmeran.",Not Found,"Carrot Seeds, Pink Pepper","Orris, Jasmine","Musk, Ambroxan, Cashmeran",100,65,36.6667,13.3333,4.44444,30.6122,100,89.7959,69.3878,97.2789,23.1293,,
Hard Candy Elixir Aaron Terence Hughes,women and men,"sweet (100%), vanilla (94.52%), amber (84.3999%), fruity (74.4799%), aromatic (64.1598%), powdery (61.0799%), fresh spicy (60.8001%), citrus (58%), honey (54.7999%), green (50.6402%)","Hard Candy Elixir by Aaron Terence Hughes is a fragrance for women and men. This is a new fragrance. Hard Candy Elixir was launched in 2023. Top notes are Mint, Lavender, Lemon, Sweet Orange and Mandarin Orange; middle notes are Strawberry, Vanilla, Tonka, Amber, Honey and Nutmeg; base notes are White Musk, Musk, Patchouli, Oud, Ambergris and Sandalwood.",Not Found,"Mint, Lavender, Lemon, Sweet Orange, Mandarin Orange","Strawberry, Vanilla, Tonka, Amber, Honey, Nutmeg","White Musk, Musk, Patchouli, Oud, Ambergris, Sandalwood",100,10.5556,9.44444,1.11111,1.11111,100,78.626,21.374,96.1832,38.1679,97.7099,,
Sparkling Sugar Clean,women and men,"fruity (100%), musky (75.4442%), powdery (64.5217%), sweet (52.2437%)",Sparkling Sugar by Clean is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Sparkling Sugar was launched in 2023.,"CLEAN RESERVE's limited-edition ""Wink & Smile"" fragrance, a warm and spicy blend of blackcurrant (cassis berries), peach nectar, and white musk. This fun and flirty scent is the perfect balance of sweetness and sass, with pink sugar and ambrette adding a touch of natural musk.
Crafted with sustainably sourced ingredients, this farm-to-fragrance collection is not only luxurious, but eco-conscious too. The beautiful bottle, adorned with ladybugs, is a nod to CLEAN RESERVE's partnership with earthday.org to protect pollinators and raise awareness.
Moreover, CLEAN RESERVE is dedicated to making a positive impact, which is why they have partnered with a company that sources sustainable ambrette harvested by farmers in El Salvador. This partnership helps to support education programs and provide a stable source of income for the local farmers and their communities. Indulge in a fragrance that is not only irresistible but also supports a good cause. Get your limited-edition ""Wink & Smile"" today!","Peach, White Musk, Black Currant",,,80.1932,100,53.1401,23.6715,2.89855,22.9665,96.1722,90.4306,25.3589,100,17.2249,,
Cherry Ambition The 7 Virtues,women and men,"sweet (100%), cherry (97.4445%), amber (86.987%), warm spicy (78.9679%), powdery (72.6817%), woody (64.6626%), soft spicy (63.8985%), vanilla (63.4874%), musky (57.5537%), fruity (54.8509%)","Cherry Ambition by The 7 Virtues is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Cherry Ambition was launched in 2023. The nose behind this fragrance is Julie Pluchet. Top notes are Cherry, Pink Pepper, Marshmallow and Mandarin Orange; middle notes are Saffron, Cherry Blossom, Orris and Osmanthus; base notes are Vanilla, Frankincense, Guaiac Wood, Amber and Musk.","Manifest your desires with Cherry Ambition perfume, an aromatherapeutic cherry powered by sustainable sandalwood and upcycled cognac. Gourmand vanilla swirls with candied agave and bursts with cherry blossoms and floral notes, then crowned by warm amber suede and musky guaiac wood for a long-lasting sweet scent of success.
?úCherry Ambition perfume is not just a fragrance; it?ôs a statement of your inner fire and destiny. We collaborated with 400 Sephora Beauty Advisors to craft this aromatherapeutic blend of cherry, florals, and warm undertones for you to embrace your ambition and leave a trail of inspiration wherever you go.????Barb Stegemann","Cherry, Pink Pepper, Marshmallow, Mandarin Orange","Saffron, Cherry Blossom, Orris, Osmanthus","Vanilla, Frankincense, Guaiac Wood, Amber, Musk",100,76.4706,27.2727,19.7861,5.34759,92.4324,40,23.7838,100,66.4865,91.3514,,
Heaven Can Wait Frederic Malle,women and men,"powdery (100%), musky (88.8914%), warm spicy (88.1449%), iris (68.6878%), floral (56.9908%), fruity (55.7804%), earthy (55.113%), woody (54.819%), violet (49.3441%), sweet (46.4931%)","Heaven Can Wait by Frederic Malle is a Floral Woody Musk fragrance for women and men. This is a new fragrance. Heaven Can Wait was launched in 2023. The nose behind this fragrance is Jean-Claude Ellena. Top notes are Cloves, Carrot Seeds, Ambrette, Pimento Seeds and Plum; middle notes are Iris, Vetiver, Magnolia, Cashmeran and Cedar; base notes are Musk, Peach and Vanilla.","Heaven Can Wait by Frederic Malle is a perfume created as an idea of eternal seduction; exotic and comforting at the same time. An irresistibly discreet, but also deceptively imaginative creation, which embodies the Parisian atmosphere.
An elegant, fresh, and transparent perfume like a veil on the skin, perfect for both men and women.
Perfumer Creator: Jean Claude Ellena
Top Notes: Irises
Heart Notes: Magnolia
Base Notes: Musk
Available as a 50 and 100 ml Eau de Parfum.","Cloves, Carrot Seeds, Ambrette, Pimento Seeds, Plum","Iris, Vetiver, Magnolia, Cashmeran, Cedar","Musk, Peach, Vanilla",100,88.125,58.125,51.25,26.25,72.7273,91.6667,57.5758,100,89.3939,52.2727,,
