note,other_group,group
Laminaria,N/A,"Group: GREENS, HERBS AND FOUGERES"
Lapsang Souchong Tea,N/A,"Group: GREENS, HERBS AND FOUGERES"
Laurissilva Forest,N/A,"Group: GREENS, HERBS AND FOUGERES"
Lesser Calamint,Clinopodium Nepeta;,"Group: GREENS, HERBS AND FOUGERES"
Lettuce,N/A,"Group: GREENS, HERBS AND FOUGERES"
Lily-of-the-Valley Leaves,N/A,"Group: GREENS, HERBS AND FOUGERES"
Limnophila Aromatica,Limnophila Aromatica;,"Group: GREENS, HERBS AND FOUGERES"
Linaloe Berry,Bursera Delpechiana; Other names: Indian lavender tree,"Group: GREENS, HERBS AND FOUGERES"
Longjing Tea,N/A,"Group: GREENS, HERBS AND FOUGERES"
Lovage Root,Levisticum officinale;,"Group: GREENS, HERBS AND FOUGERES"
Mandrake,Mandragora;,"Group: GREENS, HERBS AND FOUGERES"
Marigold,Tagetes lemmonii (Asteraceae); Other names: tagetes,"Group: GREENS, HERBS AND FOUGERES"
Marjoram,"Marjorana hortensis, Origanum Marjorana;","Group: GREENS, HERBS AND FOUGERES"
Matcha Tea,N/A,"Group: GREENS, HERBS AND FOUGERES"
Mate,N/A,"Group: GREENS, HERBS AND FOUGERES"
Melilot or Sweet Clover,Melilotus;,"Group: GREENS, HERBS AND FOUGERES"
Mimosa Leaves,N/A,"Group: GREENS, HERBS AND FOUGERES"
Mint,"Mentha spicata, piperita, aquatica (Labiatae);","Group: GREENS, HERBS AND FOUGERES"
Mistletoe,N/A,"Group: GREENS, HERBS AND FOUGERES"
Mugwort,N/A,"Group: GREENS, HERBS AND FOUGERES"
Naswar,N/A,"Group: GREENS, HERBS AND FOUGERES"
Nettle,Urtica dioica; Other names: Stinging Nettle,"Group: GREENS, HERBS AND FOUGERES"
Nut Grass,Cyperus rotundus;,"Group: GREENS, HERBS AND FOUGERES"
Oak Leaves,N/A,"Group: GREENS, HERBS AND FOUGERES"
Oat,N/A,"Group: GREENS, HERBS AND FOUGERES"
Olive Leaf,Olea europaea;,"Group: GREENS, HERBS AND FOUGERES"
Oolong Tea,N/A,"Group: GREENS, HERBS AND FOUGERES"
Orchid Leaf,N/A,"Group: GREENS, HERBS AND FOUGERES"
Oregano,Origanum; Other names: wild marjoram,"Group: GREENS, HERBS AND FOUGERES"
Palm Leaf,Panamea;,"Group: GREENS, HERBS AND FOUGERES"
