note,other_group,group
Nutty Notes,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Okra Seeds,Gumbo Abelmoschus Moschatus;,"Group: FRUITS, VEGETABLES AND NUTS"
Olive,Olea europaea;,"Group: FRUITS, VEGETABLES AND NUTS"
Papaya,Carica Papaya;,"Group: FRUITS, VEGETABLES AND NUTS"
Passionfruit,Passiflora Edulis (Passifloraceae);,"Group: FRUITS, VEGETABLES AND NUTS"
Pea,Pisum Sativum;,"Group: FRUITS, VEGETABLES AND NUTS"
Peach,Prunus persica;,"Group: FRUITS, VEGETABLES AND NUTS"
Peanut,Arachis Hypogaea;,"Group: FRUITS, VEGETABLES AND NUTS"
Pear,Pyrus Communis Rosaceae;,"Group: FRUITS, VEGETABLES AND NUTS"
Pecan,Carya illinoinensis;,"Group: FRUITS, VEGETABLES AND NUTS"
Persimmon,Diospyros kaki;,"Group: FRUITS, VEGETABLES AND NUTS"
Peruvian Pepper,Schinus Molle;,"Group: FRUITS, VEGETABLES AND NUTS"
Pineapple,Ananas comosus;,"Group: FRUITS, VEGETABLES AND NUTS"
Pinot Noir Grapes,Vitis Vinifera;,"Group: FRUITS, VEGETABLES AND NUTS"
Pistachio,Pistacia vera;,"Group: FRUITS, VEGETABLES AND NUTS"
Pitahaya,"Genus Hylocereus, Stenocereus; Other names: dragon fruit","Group: FRUITS, VEGETABLES AND NUTS"
Pitanga,Eugenia Uniflora;,"Group: FRUITS, VEGETABLES AND NUTS"
Plum,Prunus; Other names: Prune,"Group: FRUITS, VEGETABLES AND NUTS"
Pomegranate,Punica granatum;,"Group: FRUITS, VEGETABLES AND NUTS"
Potato,Solanum Tuberosum;,"Group: FRUITS, VEGETABLES AND NUTS"
Prickly Pear,Opuntia Ficus-Indica; Other names: fig opuntia,"Group: FRUITS, VEGETABLES AND NUTS"
Pumpkin,Cucurbita pepo;,"Group: FRUITS, VEGETABLES AND NUTS"
Quandong Desert Peach,Santalum Acuminatum; Other names: Desert Quandong,"Group: FRUITS, VEGETABLES AND NUTS"
Quince,Cydonia oblonga;,"Group: FRUITS, VEGETABLES AND NUTS"
Rambutan,Nephelium lappaceum;,"Group: FRUITS, VEGETABLES AND NUTS"
Raspberry,Rubus idaeus;,"Group: FRUITS, VEGETABLES AND NUTS"
Red Apple,Malus Domestica;,"Group: FRUITS, VEGETABLES AND NUTS"
Red Berries,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Red Currant,Ribes Rubrum;,"Group: FRUITS, VEGETABLES AND NUTS"
Red Fruits,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Red Fruits Smoothie,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Red Mulberry,Rubus Rosifolius Sm.;,"Group: FRUITS, VEGETABLES AND NUTS"
Rhubarb,"gen. Rheum, fam. Polygonaceae;","Group: FRUITS, VEGETABLES AND NUTS"
Roasted Nuts,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Sapodilla,Manilkara Zapota;,"Group: FRUITS, VEGETABLES AND NUTS"
