note,other_group,group
Pink Crystal,SiO2;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Pink Himalayan Sea Salt,NaCl;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Pizza,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Plastic,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Plastic Bag,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Play-Doh,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
N/A,N/A,N/A
Poivrol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Pollen,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Pomarose,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Powdery Notes,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Priest’s Clothes,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Propolis,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Prunol,Ursolic Acid;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Rain Notes,Rain Notes;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
RE Base,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Rhodinol,"3,7-dimetiloct-7-en-1-ol;","Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Rice Powder,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Rose Oxide,"(2S,4R)-4-methyl-2-(2-methylprop-1-enyl)oxane;","Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Salicylic Acid,C₇H₆O₃;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Salt,Sodium Chloride (NaCl);,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sand,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Satin,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sauna,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Scent Trek®,Technology Givaudan;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sclarene,Sclarene;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sea Water,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Serenolide,"3,3 Dimethylcyclohexyl Ethoxy;","Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Shamama Attar,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Silk,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Silver,Ag;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sinfonide,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Siren,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Slate,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Smoke,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Snow,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Soap,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sodium Silicate,Na2O3Si;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Solar Notes,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
SP3 Carbon,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Spiranol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Spray Paint,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Steam accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Stone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Sulphur,[Ne] 3s²3p⁴;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Suntan Lotion,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
T-Shirt accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Talc,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tar,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tennis Ball,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Terpineol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Terranol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Timbersilk™,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tomato Sauce,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tonalide®,CAS number 1506-02-1;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tonquitone™,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Toothpaste,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Trimofix®,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tuberolide,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Tulle accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Vanillin,C₈H₈O₃ | C₆H₃CHO;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Varnish Accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Velvet,Velvet;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Verdox,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Vinyl,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Vinyl Guaiacol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Vitamin C,Ascorbic Acid;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Water,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Wet Plaster,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Wet Stone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
White Leather,Echinodorus Macrophyllum;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Wool,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Yeast,NaHCO3;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
