note,other_group,group
Acorn,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Almond,Prunus amygdalis var. amara (Rosaceae);,"Group: FRUITS, VEGETABLES AND NUTS"
Apple,Malus domestica;,"Group: FRUITS, VEGETABLES AND NUTS"
Apple Juice,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Apple Pulp,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Apple Sherbet,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Apricot,Prunus armeniaca;,"Group: FRUITS, VEGETABLES AND NUTS"
Arctic Bramble,Rubus Arcticus; Other names: Arctic Raspberry,"Group: FRUITS, VEGETABLES AND NUTS"
Argan,Argania spinosa;,"Group: FRUITS, VEGETABLES AND NUTS"
Artichoke,"Cynara Cardunculus var. Scolymus; Other names: French artichoke, Green artichoke","Group: FRUITS, VEGETABLES AND NUTS"
Banana,Musa paradisiaca ssp. sapientum;,"Group: FRUITS, VEGETABLES AND NUTS"
Bearberry,Arctostaphylos;,"Group: FRUITS, VEGETABLES AND NUTS"
Beetroot,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Black Cherry,Eugenia Candolleana;,"Group: FRUITS, VEGETABLES AND NUTS"
Black Currant,Ribes nigrum;,"Group: FRUITS, VEGETABLES AND NUTS"
Black Sapote,"Diospyros nigra; Other names: chocolate persimmon, black soapapple, zapote prieto","Group: FRUITS, VEGETABLES AND NUTS"
Black Walnut,Juglans Nigra;,"Group: FRUITS, VEGETABLES AND NUTS"
Blackberry,"(Genus Rubus, Family Rosaceae);","Group: FRUITS, VEGETABLES AND NUTS"
Blackthorn,Prunus Spinosa;,"Group: FRUITS, VEGETABLES AND NUTS"
Blueberry,Vaccinium myrtillus;,"Group: FRUITS, VEGETABLES AND NUTS"
Boysenberry,Rubus Ursinus X Idaeus;,"Group: FRUITS, VEGETABLES AND NUTS"
Brazil Nut,Bertholletia Excelsa;,"Group: FRUITS, VEGETABLES AND NUTS"
Breadnut,Artocarpus Camansi;,"Group: FRUITS, VEGETABLES AND NUTS"
Buriti,Mauritia Flexuosa;,"Group: FRUITS, VEGETABLES AND NUTS"
Burning Cherry,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Candlenut,Aleurites Moluccana;,"Group: FRUITS, VEGETABLES AND NUTS"
Cantaloupe,Cucumis Melo Var. Cantalupensis;,"Group: FRUITS, VEGETABLES AND NUTS"
Carambola (Star Fruit),Averrhoa carambola;,"Group: FRUITS, VEGETABLES AND NUTS"
Carrot,Daucus Carota;,"Group: FRUITS, VEGETABLES AND NUTS"
Cashew,Anacardium Occidentale;,"Group: FRUITS, VEGETABLES AND NUTS"
Cassowary Fruit,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Cauliflower,Brassica Oleracea var. Botrytis;,"Group: FRUITS, VEGETABLES AND NUTS"
Cep,Cèpes; Other names: Penny Bun,"Group: FRUITS, VEGETABLES AND NUTS"
Cepes,"Boletus Edulis; Other names: cepe, mushroom, Boletus edulis","Group: FRUITS, VEGETABLES AND NUTS"
Chayote,Sechium Edule;,"Group: FRUITS, VEGETABLES AND NUTS"
Cherimoya,Annona Cherimola;,"Group: FRUITS, VEGETABLES AND NUTS"
N/A,"family Rosaceae, genus Prunus;","Group: FRUITS, VEGETABLES AND NUTS"
Chia Seed,Salvia Hispanica L.;,"Group: FRUITS, VEGETABLES AND NUTS"
Chickpeas,Cicer Arietinum;,"Group: FRUITS, VEGETABLES AND NUTS"
Chinese Magnolia,Schisandra Chinensis;,"Group: FRUITS, VEGETABLES AND NUTS"
Cloudberry,Rubus Chamaemorus;,"Group: FRUITS, VEGETABLES AND NUTS"
Coco De Mer,"Lodoicea Maldivica; Other names: Sea Coconut, Double Coconut","Group: FRUITS, VEGETABLES AND NUTS"
cocoa shell,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Coconut Water,Coccus Nucifera L.;,"Group: FRUITS, VEGETABLES AND NUTS"
Conifer,Pinus Radiata;,"Group: FRUITS, VEGETABLES AND NUTS"
Corn,Zea Mays;,"Group: FRUITS, VEGETABLES AND NUTS"
Corn Silk,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Count's Fruit,Annona Squamosa;,"Group: FRUITS, VEGETABLES AND NUTS"
Cranberry,Vaccinium;,"Group: FRUITS, VEGETABLES AND NUTS"
